"Time In, Zone", Timestamp In," Time Out, Zone",Timestamp Out,Total Time
PDT,2022-10-23_15:0:55,PDT,2022-10-23_15:0:59,0:00:04
PDT,2022-10-23_15:1:56,PDT,2022-10-23_15:2:1,0:00:04
PDT,2022-10-23_15:8:43,PDT,2022-10-23_15:8:49,0:00:06
PDT,2022-10-23_15:8:55,PDT,2022-10-23_15:8:56,0:00:01
PDT,2022-10-23_15:10:28,PDT,2022-10-23_15:10:29,0:00:00
PDT,2022-11-05_10:11:37,PDT,2022-11-05_10:11:38,0:00:01
PDT,2022-11-05_10:11:46,PDT,2022-11-05_10:11:52,0:00:06
PDT,2022-11-05_10:12:46,PDT,2022-11-05_10:12:47,0:00:01
PDT,2022-11-05_10:12:55,PDT,2022-11-05_10:12:56,0:00:00
PDT,2022-11-05_10:21:4,PDT,2022-11-05_10:21:6,0:00:01
PDT,2022-11-05_15:21:11,PDT,2022-11-05_15:21:30,0:00:19
PDT,2022-11-05_15:37:49,PDT,2022-11-05_15:37:53,0:00:03
PDT,2022-11-05_15:39:19,PDT,2022-11-05_15:39:26,0:00:07
PDT,2022-11-05_15:44:48,PDT,2022-11-05_15:44:51,0:00:03
PDT,2022-11-05_15:44:57,PDT,2022-11-05_15:44:59,0:00:01
PDT,2022-11-05_16:1:52,PDT,2022-11-05_16:1:53,0:00:00
PDT,2022-11-05_16:8:17,PDT,2022-11-05_16:8:18,0:00:01
PDT,2022-11-05_16:43:38,PDT,2022-11-05_16:43:40,0:00:01
PST,2022-11-06_12:41:38,PST,2022-11-06_12:41:50,0:00:11
PST,2022-11-06_12:41:57,PST,2022-11-06_12:42:17,0:00:19
PST,2022-11-06_12:42:23,PST,2022-11-06_12:42:25,0:00:01
PST,2022-11-06_12:43:13,PST,2022-11-06_12:43:17,0:00:04
PST,2022-11-15_19:39:31,PST,2022-11-15_19:39:32,0:00:01
PST,2022-11-16_12:1:51,PST,2022-11-16_12:1:59,0:00:07
PST,2022-11-16_12:2:15,PST,2022-11-16_12:2:17,0:00:01
